,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
119,102925,ETH,2.190889999999999,-0.025006304000000004,1389.212164233999,-0.887,140.96,0.0,138.49,close_trailing_long
120,102926,ETH,0.0,-0.024596108000000002,1389.187568125999,0.874,140.71,0.874,140.71,entry_initial_normal_long
121,102927,ETH,0.0,-0.04023884800000001,1389.147329277999,1.469,136.96,2.343,138.358847631242,entry_grid_normal_long
122,102929,ETH,-0.7939200000000152,-0.06467617200000002,1388.288733105999,-2.343,138.02,0.0,138.358847631242,close_trailing_long
123,102930,ETH,0.0,-0.024570756000000003,1388.264162349999,0.882,139.29,0.882,139.29,entry_initial_normal_long
124,102935,ETH,-0.317519999999987,-0.024507252000000004,1387.922135097999,-0.882,138.93,0.0,139.29,close_trailing_long
125,102936,ETH,0.0,-0.024584728000000004,1387.897550369999,0.886,138.74,0.886,138.74,entry_initial_normal_long
126,102937,ETH,0.0,-0.040217890000000006,1387.857332479999,1.489,135.05,2.375,136.42656421052635,entry_grid_normal_long
127,102937,ETH,0.0,-0.10576150000000001,1387.751570979999,3.991,132.5,6.366,133.96490574929314,entry_grid_normal_long
128,102939,ETH,7.048215315739679,-0.162113944,1394.6376723517387,-5.998,135.14,0.368,133.96490574929314,close_trailing_long
129,102941,ETH,0.09387468426012492,-0.009878592,1394.7216684439989,-0.368,134.22,0.0,133.96490574929314,close_trailing_long
130,102942,ETH,0.0,-0.024690864,1394.696977579999,0.926,133.32,0.926,133.32,entry_initial_normal_long
131,102944,ETH,0.0,-0.04038442400000001,1394.656593155999,1.556,129.77,2.482,131.09445608380338,entry_grid_normal_long
132,102945,ETH,0.0,-0.10621034400000001,1394.550382811999,4.171,127.32,6.653,128.7281166391102,entry_grid_normal_long
133,102947,ETH,26.60933432286172,-0.166824162,1420.9928929728608,-6.273,132.97,0.38,128.7281166391102,close_trailing_long
134,102949,ETH,0.7379156771381201,-0.00993092,1421.7208777299988,-0.38,130.67,0.0,128.7281166391102,close_trailing_long
135,102950,ETH,0.0,-0.025179876,1421.6956978539988,0.954,131.97,0.954,131.97,entry_initial_normal_long
136,102952,ETH,1.0684800000000043,-0.025393572000000003,1422.7387842819987,-0.954,133.09,0.0,131.97,close_trailing_long
137,102953,ETH,0.0,-0.025192152000000002,1422.7135921299987,0.927,135.88,0.927,135.88,entry_initial_normal_long
138,102954,ETH,0.0,-0.041212216,1422.6723799139986,1.558,132.26,2.485,133.61039839034206,entry_grid_normal_long
139,102956,ETH,-0.8458899999999826,-0.06623519,1421.7602547239987,-2.485,133.27,0.0,133.61039839034206,close_trailing_long
140,102957,ETH,0.0,-0.025179064000000008,1421.7350756599988,0.937,134.36,0.937,134.36,entry_initial_normal_long
141,102959,ETH,0.0,-0.025179064000000008,1421.7098965959988,-0.937,134.36,0.0,134.36,close_trailing_long
142,102960,ETH,0.0,-0.025182240000000005,1421.6847143559987,0.92,136.86,0.92,136.86,entry_initial_normal_long
143,102964,ETH,0.892399999999999,-0.025360720000000003,1422.5517536359987,-0.92,137.83,0.0,136.86,close_trailing_long
144,102965,ETH,0.0,-0.025182200000000005,1422.5265714359987,0.925,136.12,0.925,136.12,entry_initial_normal_long
145,102968,ETH,-0.32374999999999476,-0.025117450000000003,1422.1777039859987,-0.925,135.77,0.0,136.12,close_trailing_long
146,102969,ETH,0.0,-0.025196460000000007,1422.1525075259988,0.926,136.05,0.926,136.05,entry_initial_normal_long
