,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
94,80002,CRVUSDT,0.24236663308909936,-0.00237384,1192.7074070445,-15.7,0.756,485.1,0.7405626348350892,close_unstuck_long
95,80003,CRVUSDT,0.2894666330890994,-0.00238326,1192.994490417589,-15.7,0.759,469.4,0.7405626348350892,close_unstuck_long
96,80004,CRVUSDT,0.2737666330890994,-0.00238012,1193.2658769306781,-15.7,0.758,453.7,0.7405626348350892,close_unstuck_long
97,80005,CRVUSDT,0.2737666330890994,-0.00238012,1193.5372634437672,-15.7,0.758,438.0,0.7405626348350892,close_unstuck_long
98,80006,CRVUSDT,0.3051666330890994,-0.0023864000000000003,1193.8400436768563,-15.7,0.76,422.3,0.7405626348350892,close_unstuck_long
99,80007,CRVUSDT,0.2894666330890994,-0.00238326,1194.1271270499453,-15.7,0.759,406.6,0.7405626348350892,close_unstuck_long
100,80009,CRVUSDT,0.3500228965726084,-0.00238056,1194.474769386518,-15.6,0.763,391.0,0.7405626348350892,close_unstuck_long
101,80010,CRVUSDT,0.39427916005611735,-0.0023746,1194.866673946574,-15.5,0.766,375.5,0.7405626348350892,close_unstuck_long
102,80011,CRVUSDT,0.39427916005611735,-0.0023746,1195.2585785066303,-15.5,0.766,360.0,0.7405626348350892,close_unstuck_long
103,80012,CRVUSDT,0.3344228965726084,-0.00237744,1195.590623963203,-15.6,0.762,344.4,0.7405626348350892,close_unstuck_long
104,80013,CRVUSDT,0.3208666330890994,-0.00238954,1195.909101056292,-15.7,0.761,328.7,0.7405626348350892,close_unstuck_long
105,80014,CRVUSDT,0.2894666330890994,-0.00238326,1196.196184429381,-15.7,0.759,313.0,0.7405626348350892,close_unstuck_long
106,80015,CRVUSDT,0.3051666330890994,-0.0023864000000000003,1196.4989646624701,-15.7,0.76,297.3,0.7405626348350892,close_unstuck_long
107,80016,CRVUSDT,0.3208666330890994,-0.00238954,1196.8174417555592,-15.7,0.761,281.6,0.7405626348350892,close_unstuck_long
108,80017,CRVUSDT,0.3656228965726084,-0.00238368,1197.1806809721318,-15.6,0.764,266.0,0.7405626348350892,close_unstuck_long
109,80019,CRVUSDT,0.4562791600561174,-0.0023870000000000002,1197.6345731321878,-15.5,0.77,250.5,0.7405626348350892,close_unstuck_long
110,80020,CRVUSDT,0.48727916005611743,-0.0023932000000000003,1198.119459092244,-15.5,0.772,235.0,0.7405626348350892,close_unstuck_long
111,80021,CRVUSDT,0.48727916005611743,-0.0023932000000000003,1198.6043450523,-15.5,0.772,219.5,0.7405626348350892,close_unstuck_long
112,80022,CRVUSDT,0.42802289657260845,-0.00239616,1199.0299717888727,-15.6,0.768,203.9,0.7405626348350892,close_unstuck_long
113,80023,CRVUSDT,0.5027791600561174,-0.0023963,1199.5303546489288,-15.5,0.773,188.4,0.7405626348350892,close_unstuck_long
114,80024,CRVUSDT,0.5027791600561174,-0.0023963,1200.0307375089849,-15.5,0.773,172.9,0.7405626348350892,close_unstuck_long
